"f_788-1"	"Points:0"	"Points:1"	"Points:2"
-0.87055	-0.5	-0.1	0
-1.8662	-0.25	-0.1	0
2.083	0.25	-0.1	0
-0.87055	0.5	-0.1	0
-0.87055	0.5	0.1	0
2.083	0.25	0.1	0
-1.8662	-0.25	0.1	0
-0.87055	-0.5	0.1	0
-0.99097	-0.49	-0.1	0
-1.1071	-0.48	-0.1	0
-1.2186	-0.47	-0.1	0
-1.3248	-0.46	-0.1	0
-1.4255	-0.45	-0.1	0
-1.5202	-0.44	-0.1	0
-1.6085	-0.43	-0.1	0
-1.6902	-0.42	-0.1	0
-1.7648	-0.41	-0.1	0
-1.8321	-0.4	-0.1	0
-1.892	-0.39	-0.1	0
-1.944	-0.38	-0.1	0
-1.988	-0.37	-0.1	0
-2.024	-0.36	-0.1	0
-2.0517	-0.35	-0.1	0
-2.071	-0.34	-0.1	0
-2.0818	-0.33	-0.1	0
-2.0842	-0.32	-0.1	0
-2.0778	-0.31	-0.1	0
-2.0631	-0.3	-0.1	0
-2.04	-0.29	-0.1	0
-2.0087	-0.28	-0.1	0
-1.9691	-0.27	-0.1	0
-1.9214	-0.26	-0.1	0
-1.8006	-0.24	-0.1	0
-1.7273	-0.23	-0.1	0
-1.6469	-0.22	-0.1	0
-1.5588	-0.21	-0.1	0
-1.4639	-0.2	-0.1	0
-1.3625	-0.19	-0.1	0
-1.2549	-0.18	-0.1	0
-1.1419	-0.17	-0.1	0
-1.0237	-0.16	-0.1	0
-0.90077	-0.15	-0.1	0
-0.7735	-0.14	-0.1	0
-0.6426	-0.13	-0.1	0
-0.50858	-0.12	-0.1	0
-0.37197	-0.11	-0.1	0
-0.23331	-0.1	-0.1	0
-0.093105	-0.09	-0.1	0
0.04802	-0.08	-0.1	0
0.18947	-0.07	-0.1	0
0.33071	-0.06	-0.1	0
0.47113	-0.05	-0.1	0
0.61022	-0.04	-0.1	0
0.74734	-0.03	-0.1	0
0.88194	-0.02	-0.1	0
1.0135	-0.01	-0.1	0
1.1415	-6.8806e-13	-0.1	0
1.2654	0.01	-0.1	0
1.3846	0.02	-0.1	0
1.4989	0.03	-0.1	0
1.6077	0.04	-0.1	0
1.7104	0.05	-0.1	0
1.8066	0.06	-0.1	0
1.896	0.07	-0.1	0
1.9783	0.08	-0.1	0
2.0532	0.09	-0.1	0
2.1201	0.1	-0.1	0
2.179	0.11	-0.1	0
2.2295	0.12	-0.1	0
2.2716	0.13	-0.1	0
2.3049	0.14	-0.1	0
2.3293	0.15	-0.1	0
2.3449	0.16	-0.1	0
2.3514	0.17	-0.1	0
2.3488	0.18	-0.1	0
2.3374	0.19	-0.1	0
2.3168	0.2	-0.1	0
2.2872	0.21	-0.1	0
2.2489	0.22	-0.1	0
2.2014	0.23	-0.1	0
2.1466	0.24	-0.1	0
2.0147	0.26	-0.1	0
1.9394	0.27	-0.1	0
1.8572	0.28	-0.1	0
1.7683	0.29	-0.1	0
1.673	0.3	-0.1	0
1.5718	0.31	-0.1	0
1.465	0.32	-0.1	0
1.3531	0.33	-0.1	0
1.2365	0.34	-0.1	0
1.1156	0.35	-0.1	0
0.99092	0.36	-0.1	0
0.86289	0.37	-0.1	0
0.73207	0.38	-0.1	0
0.59891	0.39	-0.1	0
0.46388	0.4	-0.1	0
0.3276	0.41	-0.1	0
0.19055	0.42	-0.1	0
0.053259	0.43	-0.1	0
-0.083734	0.44	-0.1	0
-0.21992	0.45	-0.1	0
-0.35474	0.46	-0.1	0
-0.48773	0.47	-0.1	0
-0.61832	0.48	-0.1	0
-0.74604	0.49	-0.1	0
-0.87032	0.5	-0.09	0
-0.87035	0.5	-0.08	0
-0.87054	0.5	-0.07	0
-0.87043	0.5	-0.06	0
-0.87037	0.5	-0.05	0
-0.87053	0.5	-0.04	0
-0.8704	0.5	-0.03	0
-0.8705	0.5	-0.02	0
-0.87035	0.5	-0.01	0
-0.87049	0.5	-2.6559e-13	0
-0.87035	0.5	0.01	0
-0.87038	0.5	0.02	0
-0.8704	0.5	0.03	0
-0.87057	0.5	0.04	0
-0.87044	0.5	0.05	0
-0.87054	0.5	0.06	0
-0.87039	0.5	0.07	0
-0.87038	0.5	0.08	0
-0.87035	0.5	0.09	0
-0.74604	0.49	0.1	0
-0.61832	0.48	0.1	0
-0.48773	0.47	0.1	0
-0.35474	0.46	0.1	0
-0.21992	0.45	0.1	0
-0.083734	0.44	0.1	0
0.053259	0.43	0.1	0
0.19055	0.42	0.1	0
0.3276	0.41	0.1	0
0.46388	0.4	0.1	0
0.59891	0.39	0.1	0
0.73207	0.38	0.1	0
0.86289	0.37	0.1	0
0.99092	0.36	0.1	0
1.1156	0.35	0.1	0
1.2365	0.34	0.1	0
1.3531	0.33	0.1	0
1.465	0.32	0.1	0
1.5718	0.31	0.1	0
1.673	0.3	0.1	0
1.7683	0.29	0.1	0
1.8572	0.28	0.1	0
1.9394	0.27	0.1	0
2.0147	0.26	0.1	0
2.1466	0.24	0.1	0
2.2014	0.23	0.1	0
2.2489	0.22	0.1	0
2.2872	0.21	0.1	0
2.3168	0.2	0.1	0
2.3374	0.19	0.1	0
2.3488	0.18	0.1	0
2.3514	0.17	0.1	0
2.3449	0.16	0.1	0
2.3293	0.15	0.1	0
2.3049	0.14	0.1	0
2.2716	0.13	0.1	0
2.2295	0.12	0.1	0
2.179	0.11	0.1	0
2.1201	0.1	0.1	0
2.0532	0.09	0.1	0
1.9783	0.08	0.1	0
1.896	0.07	0.1	0
1.8066	0.06	0.1	0
1.7104	0.05	0.1	0
1.6077	0.04	0.1	0
1.4989	0.03	0.1	0
1.3846	0.02	0.1	0
1.2654	0.01	0.1	0
1.1415	6.8806e-13	0.1	0
1.0135	-0.01	0.1	0
0.88194	-0.02	0.1	0
0.74734	-0.03	0.1	0
0.61022	-0.04	0.1	0
0.47113	-0.05	0.1	0
0.33071	-0.06	0.1	0
0.18947	-0.07	0.1	0
0.04802	-0.08	0.1	0
-0.093105	-0.09	0.1	0
-0.23331	-0.1	0.1	0
-0.37197	-0.11	0.1	0
-0.50858	-0.12	0.1	0
-0.6426	-0.13	0.1	0
-0.7735	-0.14	0.1	0
-0.90077	-0.15	0.1	0
-1.0237	-0.16	0.1	0
-1.1419	-0.17	0.1	0
-1.2549	-0.18	0.1	0
-1.3625	-0.19	0.1	0
-1.4639	-0.2	0.1	0
-1.5588	-0.21	0.1	0
-1.6469	-0.22	0.1	0
-1.7273	-0.23	0.1	0
-1.8006	-0.24	0.1	0
-1.9214	-0.26	0.1	0
-1.9691	-0.27	0.1	0
-2.0087	-0.28	0.1	0
-2.04	-0.29	0.1	0
-2.0631	-0.3	0.1	0
-2.0778	-0.31	0.1	0
-2.0842	-0.32	0.1	0
-2.0818	-0.33	0.1	0
-2.071	-0.34	0.1	0
-2.0517	-0.35	0.1	0
-2.024	-0.36	0.1	0
-1.988	-0.37	0.1	0
-1.944	-0.38	0.1	0
-1.892	-0.39	0.1	0
-1.8321	-0.4	0.1	0
-1.7648	-0.41	0.1	0
-1.6902	-0.42	0.1	0
-1.6085	-0.43	0.1	0
-1.5202	-0.44	0.1	0
-1.4255	-0.45	0.1	0
-1.3248	-0.46	0.1	0
-1.2186	-0.47	0.1	0
-1.1071	-0.48	0.1	0
-0.99097	-0.49	0.1	0
-0.87035	-0.5	0.09	0
-0.87038	-0.5	0.08	0
-0.87039	-0.5	0.07	0
-0.87054	-0.5	0.06	0
-0.87044	-0.5	0.05	0
-0.87057	-0.5	0.04	0
-0.8704	-0.5	0.03	0
-0.87038	-0.5	0.02	0
-0.87035	-0.5	0.01	0
-0.87049	-0.5	2.6559e-13	0
-0.87035	-0.5	-0.01	0
-0.8705	-0.5	-0.02	0
-0.8704	-0.5	-0.03	0
-0.87053	-0.5	-0.04	0
-0.87037	-0.5	-0.05	0
-0.87043	-0.5	-0.06	0
-0.87054	-0.5	-0.07	0
-0.87035	-0.5	-0.08	0
-0.87032	-0.5	-0.09	0
-1.8659	-0.25	0.09	0
-1.8655	-0.25	0.08	0
-1.8663	-0.25	0.07	0
-1.866	-0.25	0.06	0
-1.8664	-0.25	0.05	0
-1.8658	-0.25	0.04	0
-1.8657	-0.25	0.03	0
-1.8658	-0.25	0.02	0
-1.8663	-0.25	0.01	0
-1.8657	-0.25	2.6559e-13	0
-1.8658	-0.25	-0.01	0
-1.8661	-0.25	-0.02	0
-1.8657	-0.25	-0.03	0
-1.8659	-0.25	-0.04	0
-1.8662	-0.25	-0.05	0
-1.866	-0.25	-0.06	0
-1.866	-0.25	-0.07	0
-1.8657	-0.25	-0.08	0
-1.8658	-0.25	-0.09	0
2.0827	0.25	0.09	0
2.0824	0.25	0.08	0
2.083	0.25	0.07	0
2.083	0.25	0.06	0
2.083	0.25	0.05	0
2.0827	0.25	0.04	0
2.0825	0.25	0.03	0
2.0826	0.25	0.02	0
2.0831	0.25	0.01	0
2.0826	0.25	2.6559e-13	0
2.0826	0.25	-0.01	0
2.0832	0.25	-0.02	0
2.0825	0.25	-0.03	0
2.0827	0.25	-0.04	0
2.083	0.25	-0.05	0
2.0829	0.25	-0.06	0
2.0832	0.25	-0.07	0
2.0824	0.25	-0.08	0
2.0828	0.25	-0.09	0
-1.9191	-0.385	-2.0817e-17	0
-2.0841	-0.32175	0.030076	0
-2.0814	-0.33021	-0.03499	0
-1.55	-0.43669	0.036694	0
-1.565	-0.43503	-0.035604	0
-1.9882	-0.37003	0.049478	0
-1.9542	-0.37785	-0.049604	0
-2.0521	-0.29492	-0.0076492	0
-2.0479	-0.29305	-0.056948	0
-1.3414	-0.45837	-0.0012153	0
-2.0436	-0.29139	0.058605	0
-1.7935	-0.40586	0.062681	0
-2.0603	-0.34598	-6.7803e-06	0
-1.2764	-0.46462	0.061002	0
-1.283	-0.46401	-0.063219	0
-2.0772	-0.33483	0.063638	0
-1.6796	-0.42136	0.003541	0
-1.7501	-0.41201	-0.063567	0
-2.0582	-0.34714	-0.065353	0
-2.024	-0.28458	0.024955	0
-1.8085	-0.40363	-0.029576	0
-1.8271	-0.4008	0.029124	0
-1.2355	-0.46845	0.030124	0
-1.2398	-0.46805	-0.030109	0
-2.0268	-0.35901	-0.026837	0
-1.576	-0.43377	0.070492	0
-2.0834	-0.31839	-0.07132	0
-2.0036	-0.27863	-0.031587	0
-2.0543	-0.34868	0.027717	0
-1.9336	-0.38211	0.072725	0
-1.5419	-0.4376	-0.073793	0
-2.0838	-0.31963	0.0025951	0
-1.9025	-0.38807	-0.073966	0
-1.9702	-0.37424	0.023501	0
-2.071	-0.30472	-0.031175	0
-2.0799	-0.31213	0.074854	0
-1.9908	-0.27528	-0.073361	0
-2.0325	-0.35717	0.075386	0
-1.9869	-0.27422	0.07514	0
-1.9889	-0.27479	0.004924	0
-1.539	-0.43792	-0.014188	0
-2.0808	-0.31341	0.049858	0
-1.9809	-0.27277	0.045439	0
-1.936	-0.38164	-0.022746	0
-2.0076	-0.36486	-0.078753	0
-1.5121	-0.44086	0.014626	0
-1.1368	-0.47737	0.010852	0
-2.0595	-0.29823	-0.078284	0
-1.9789	-0.27225	-0.051342	0
-1.1276	-0.47818	0.078117	0
-1.1266	-0.47827	-0.078241	0
-1.1303	-0.47797	-0.011227	0
-2.0673	-0.30221	0.019628	0
-2.0826	-0.31627	-0.049725	0
-1.8869	-0.39092	0.047146	0
-1.1261	-0.47834	0.047721	0
-1.1212	-0.47875	-0.048669	0
-1.7057	-0.41802	0.039271	0
-1.7265	-0.41526	0.080487	0
-2.0539	-0.34897	-0.045621	0
-2.0813	-0.33113	-0.015208	0
-2.0124	-0.36352	-0.0053262	0
-1.8394	-0.39888	-0.047258	0
-1.8057	-0.40408	-0.0074599	0
-1.4044	-0.45215	0.07884	0
-2.0759	-0.33619	0.041007	0
-1.7021	-0.41848	-0.046997	0
-1.6429	-0.42589	0.025674	0
-2.0698	-0.30363	0.037827	0
-1.3789	-0.45471	0.04495	0
-1.3831	-0.4543	-0.045729	0
-2.0771	-0.33543	-0.080225	0
-1.3995	-0.45263	-0.080643	0
-2.0444	-0.29149	0.082065	0
-2.0783	-0.33439	0.015223	0
-1.9584	-0.2676	-0.014953	0
-1.7063	-0.41793	-0.08286	0
-1.6883	-0.42024	-0.027206	0
-2.0821	-0.32966	0.080904	0
-2.051	-0.3505	0.054274	0
-2.0803	-0.3124	-0.013656	0
-1.5689	-0.43458	-0.052184	0
-1.8408	-0.39858	0.08125	0
-2.0784	-0.33392	-0.051634	0
-1.8022	-0.40457	0.01083	0
-2.03	-0.35813	0.012641	0
-1.3813	-0.45447	-0.017407	0
-2.0105	-0.36399	-0.060587	0
-1.6036	-0.43058	0.052722	0
-1.9573	-0.26733	0.019452	0
-1.8174	-0.40228	-0.08281	0
-1.4258	-0.44997	0.02797	0
-1.9542	-0.2667	0.060894	0
-1.4633	-0.44609	0.059164	0
-1.0615	-0.48397	0.025503	0
-1.899	-0.38875	0.016778	0
-2.0388	-0.28962	0.0074536	0
-1.0614	-0.48398	-0.026816	0
-1.3264	-0.45985	0.015275	0
-2.0444	-0.29164	-0.040587	0
-2.0512	-0.35022	-0.083661	0
-2.0561	-0.34794	-0.015152	0
-2.011	-0.36384	-0.043002	0
-1.9882	-0.36995	0.082644	0
-1.0616	-0.48397	0.063235	0
-1.0622	-0.48392	-0.063254	0
-1.9988	-0.36725	0.065106	0
-2.0444	-0.29167	-0.02264	0
-2.0621	-0.34507	0.085223	0
-1.9011	-0.38834	-0.037443	0
-2.0137	-0.36309	0.034134	0
-2.0796	-0.31189	-0.084757	0
-1.4478	-0.4477	-0.061303	0
-1.9466	-0.26508	-0.037945	0
-1.5671	-0.4348	0.085228	0
-2.0329	-0.28757	0.044061	0
-1.9433	-0.26438	-0.085617	0
-1.6873	-0.42034	0.064198	0
-2.0673	-0.34213	-0.027903	0
-1.9127	-0.38614	0.03024	0
-2.0252	-0.28493	-0.085595	0
-1.9392	-0.2636	-0.064511	0
-1.267	-0.4655	0.085833	0
-1.8838	-0.39139	0.062276	0
-1.952	-0.37824	-0.085196	0
-1.9749	-0.37316	0.0087693	0
-1.8948	-0.38947	-0.059302	0
-2.0739	-0.3068	-0.062137	0
-1.4243	-0.45011	-0.03121	0
-1.4902	-0.44324	0.00040501	0
-1.9408	-0.2639	0.086102	0
-1.9407	-0.26387	0.033787	0
-1.7052	-0.41804	-0.010896	0
-2.072	-0.30538	0.0018552	0
-1.5597	-0.43562	-0.085527	0
-2.0841	-0.32106	0.064793	0
-1.9253	-0.38375	0.086496	0
-2.0832	-0.31819	-0.028349	0
-2.013	-0.2813	-0.0073808	0
-1.9578	-0.377	-0.06502	0
-1.8866	-0.3909	-0.012998	0
-2.0717	-0.30507	0.062534	0
-2.0777	-0.33458	0.029381	0
-2.0693	-0.30349	0.086564	0
-1.8188	-0.40208	0.046941	0
-1.6344	-0.4269	-0.065691	0
-2.0798	-0.33227	-0.06941	0
-2.0832	-0.31708	0.012824	0
-2.0327	-0.28741	-0.067331	0
-1.0267	-0.48697	-0.00021165	0
-2.0779	-0.33454	-0.00067054	0
-1.2437	-0.46768	-0.08667	0
-1.9507	-0.3786	0.056929	0
-2.0111	-0.2807	0.087655	0
-1.0272	-0.48693	0.038342	0
-1.9725	-0.37374	-0.0334	0
-1.8276	-0.40069	-0.07031	0
-1.936	-0.2629	-0.0059158	0
-1.9987	-0.27727	0.06431	0
-1.2191	-0.46997	-0.0012053	0
-2.0644	-0.3008	0.04826	0
-2.0461	-0.35222	0.04218	0
-2.0845	-0.3239	-0.086846	0
-2.0555	-0.34821	0.066221	0
-2.0842	-0.32048	0.042907	0
-1.0337	-0.48636	0.087855	0
-1.0308	-0.48661	-0.087979	0
-1.0233	-0.48726	-0.039155	0
-1.2478	-0.46732	0.043009	0
-1.2828	-0.46401	-0.051353	0
-1.9381	-0.26331	-0.026482	0
-1.9905	-0.36934	-0.019383	0
-2.0677	-0.30262	-0.047567	0
-1.8856	-0.39112	-0.087381	0
-2.0832	-0.318	0.087562	0
-2.0397	-0.35468	0.08809	0
-2.06	-0.34616	0.013487	0
-1.9523	-0.37821	-0.010688	0
-1.464	-0.446	0.048815	0
-1.9765	-0.37288	0.039196	0
-1.2426	-0.4678	-0.017818	0
-1.9311	-0.26184	0.073833	0
-2.083	-0.32744	0.053381	0
-1.9315	-0.26197	0.0093266	0
-1.5627	-0.43526	0.02519	0
-1.6167	-0.42899	0.012902	0
-1.2591	-0.46623	-0.072891	0
-1.7565	-0.41116	0.030349	0
-2.0028	-0.27836	-0.065404	0
-1.5566	-0.43596	-0.024074	0
-1.595	-0.4316	-0.0029044	0
-2.021	-0.2835	-0.049542	0
-1.7741	-0.40869	-0.040101	0
-2.0764	-0.30874	0.0275	0
-1.8031	-0.40447	0.072792	0
-0.99244	-0.48987	0.014283	0
-1.4938	-0.44286	-0.047017	0
-1.6489	-0.42517	0.089939	0
-1.7857	-0.40706	0.088391	0
-2.0839	-0.32091	-0.058464	0
-2.0006	-0.27771	0.015962	0
-1.2477	-0.46729	0.073172	0
-1.9839	-0.27352	0.034696	0
-1.8567	-0.39605	0.0017678	0
-1.9393	-0.2635	0.049936	0
-2.0491	-0.29365	0.025084	0
-2.0732	-0.3385	0.07306	0
-1.6492	-0.4251	0.03475	0
-2.0467	-0.35198	-0.0547	0
-1.4765	-0.44471	-0.090196	0
-2.0162	-0.28218	-0.022791	0
-2.0305	-0.35789	0.0015923	0
-1.3984	-0.45273	0.010407	0
-2.007	-0.365	-0.089474	0
-1.7622	-0.4104	-0.055004	0
-0.96388	-0.49227	0.074772	0
-0.96467	-0.49221	-0.074799	0
-2.0547	-0.29581	0.068276	0
-2.0652	-0.30088	-0.016505	0
-0.99268	-0.48987	-0.014643	0
-1.8829	-0.39164	-0.027955	0
-2.0843	-0.32053	-0.038375	0
-1.6403	-0.42619	-0.034816	0
-1.7345	-0.41417	0.01312	0
-1.1729	-0.47415	0.061277	0
-1.1745	-0.47401	-0.057351	0
-1.7287	-0.41493	0.054067	0
-1.7657	-0.40986	-0.015368	0
-2.0306	-0.35796	-0.069817	0
-2.0791	-0.31141	0.040845	0
-1.4809	-0.44425	0.089373	0
-1.6876	-0.42031	-0.055083	0
-1.0015	-0.48913	0.053249	0
-0.98612	-0.49041	-0.054632	0
-1.9256	-0.26072	-0.054947	0
-2.0519	-0.29456	-0.088898	0
-1.3993	-0.45264	0.068656	0
-1.1497	-0.47625	0.08904	0
-1.7497	-0.41206	-0.089965	0
-1.7677	-0.40961	-0.074015	0
-2.0703	-0.34033	-0.044347	0
-1.1683	-0.47457	0.020358	0
-1.988	-0.27448	-0.089879	0
-2.0844	-0.32189	-0.0082888	0
-2.0178	-0.28259	0.052967	0
-1.1459	-0.47659	-0.038697	0
-1.8283	-0.4006	-0.058854	0
-1.9215	-0.25996	-0.074434	0
-2.024	-0.36009	-0.016999	0
-2.0762	-0.33637	0.053225	0
-2.0775	-0.33476	-0.024913	0
-1.7623	-0.41035	0.0018871	0
-2.0758	-0.30796	-0.073374	0
-1.4464	-0.44786	-0.071041	0
-2.0246	-0.28467	0.073135	0
-1.4161	-0.45096	-0.0066614	0
-1.6422	-0.42599	0.077829	0
-1.9874	-0.27435	-0.041288	0
-1.475	-0.44485	-0.021036	0
-2.0281	-0.35867	0.024139	0
-1.7407	-0.41332	-0.031499	0
-1.855	-0.39634	0.038981	0
-1.8815	-0.39188	0.072415	0
-2.0778	-0.33476	0.090345	0
-2.0322	-0.35728	0.06284	0
-1.1367	-0.47741	0.037751	0
-1.6471	-0.42538	-0.090521	0
-1.784	-0.40725	0.02112	0
-2.0678	-0.34189	-0.089469	0
-1.6269	-0.42785	-0.043241	0
-2.0634	-0.34439	-0.075832	0
-1.3139	-0.46104	0.052544	0
-1.2734	-0.4649	-0.040908	0
-1.6328	-0.42713	-0.015578	0
-2.0588	-0.29769	-0.067495	0
-1.3374	-0.4588	0.035285	0
-1.4603	-0.44642	0.038093	0
-2.0357	-0.35612	-0.036696	0
-2.0708	-0.3402	-0.0090624	0
-1.5047	-0.44167	0.077538	0
-1.3583	-0.45675	0.089557	0
-2.0424	-0.29072	0.034426	0
-2.0657	-0.34315	-0.053581	0
-2.0542	-0.29578	0.09208	0
-1.9015	-0.3883	-0.048324	0
-1.8469	-0.39763	-0.036484	0
-1.3663	-0.45595	-0.055571	0
-2.0772	-0.30932	-0.041745	0
-2.0842	-0.32144	0.073372	0
-1.3067	-0.46173	-0.009386	0
-1.1463	-0.47655	-0.089145	0
-1.8357	-0.39947	-0.018044	0
-1.9681	-0.37485	-0.0021699	0
-2.0664	-0.34285	0.0365	0
-1.9594	-0.37679	-0.075525	0
-2.005	-0.3655	0.074408	0
-2.0838	-0.32501	-0.049016	0
-2.044	-0.3531	-0.0072963	0
-2.0803	-0.31261	-0.0039331	0
-2.0842	-0.32004	-0.019385	0
-1.9165	-0.25904	0.025904	0
-1.9927	-0.36881	-0.051121	0
-2.0836	-0.32559	-0.076712	0
-1.9113	-0.25803	-0.01524	0
-1.9463	-0.37955	0.046948	0
-2.0838	-0.32559	0.010312	0
-2.0839	-0.32567	0.020724	0
-1.5505	-0.43665	0.060923	0
-1.1711	-0.47432	-0.069499	0
-1.1613	-0.47519	0.070664	0
-1.3501	-0.45756	-0.090348	0
-1.8428	-0.3983	0.019076	0
-1.8731	-0.39333	0.090052	0
-1.5587	-0.43572	0.0075542	0
-2.0272	-0.35892	0.048403	0
-1.3384	-0.45867	-0.026676	0
-2.0678	-0.3025	0.077037	0
-1.6194	-0.42873	0.041153	0
-2.0705	-0.34014	0.0068156	0
-1.2284	-0.4691	0.010156	0
-1.6232	-0.42827	-0.07914	0
-2.0686	-0.34139	0.022531	0
-2.0545	-0.29587	-0.031257	0
-1.9777	-0.27202	0.091443	0
-2.0188	-0.28288	0.0011135	0
-2.0398	-0.28978	0.015754	0
-1.5492	-0.43681	-0.063674	0
-1.8482	-0.39744	0.05626	0
-2.072	-0.30527	-0.091675	0
-1.9824	-0.27314	-0.023782	0
-1.912	-0.25821	-0.044898	0
-1.9136	-0.25849	0.065048	0
-1.9633	-0.37587	0.090819	0
-1.3448	-0.45806	-0.07155	0
-1.3374	-0.45878	0.024765	0
-1.789	-0.40655	0.038735	0
-1.9809	-0.27274	-0.0049927	0
-1.1454	-0.47662	-0.021374	0
-1.951	-0.37857	0.014561	0
-1.4907	-0.44317	0.068263	0
-1.9914	-0.36914	-0.067847	0
-1.9965	-0.36791	0.016363	0
-2.0111	-0.3639	0.091179	0
-1.4274	-0.44981	0.017538	0
-2.0777	-0.30976	-0.023856	0
-2.0341	-0.28778	-0.01362	0
-1.487	-0.44357	-0.080101	0
-1.5122	-0.44087	0.029928	0
-2.0603	-0.2986	0.0093555	0
-2.0761	-0.30839	0.010719	0
-2.0695	-0.30371	-0.0071365	0
-2.0363	-0.35589	-0.091749	0
-2.0738	-0.33793	-0.061675	0
-2.0794	-0.33286	-0.091471	0
-2.0642	-0.34387	0.045533	0
-1.885	-0.39123	0.024861	0
-1.9136	-0.25853	0.041481	0
-1.7301	-0.41482	0.071225	0
-2.0055	-0.36541	-0.034231	0
-2.0573	-0.34744	0.076075	0
-1.7261	-0.41529	0.092142	0
-2.0838	-0.3258	0.09125	0
-1.9922	-0.27561	0.025763	0
-1.8025	-0.40452	-0.091593	0
-1.842	-0.39839	0.065835	0
-2.0115	-0.36378	0.056343	0
-1.6832	-0.42089	0.048634	0
-2.0326	-0.35707	-0.047249	0
-1.3968	-0.45289	0.053476	0
-2.0821	-0.32926	0.069958	0
-2.0828	-0.3282	0.036213	0
-0.97046	-0.49172	-0.024017	0
-2.0508	-0.35032	-0.025502	0
-0.96369	-0.49228	0.045412	0
-1.9791	-0.37217	-0.042363	0
-0.97677	-0.49119	0.030601	0
-1.6909	-0.41992	-0.071723	0
-1.4715	-0.44525	-0.038563	0
-2.0378	-0.28919	-0.078071	0
-2.0636	-0.30024	-0.039368	0
-1.8657	-0.39451	-0.078871	0
-1.8581	-0.39581	0.010607	0
-0.96368	-0.49227	0.0062087	0
-1.909	-0.25767	0.016937	0
-1.9799	-0.27257	0.054709	0
-2.0032	-0.36608	0.0046806	0
-1.9619	-0.37615	0.065068	0
-1.9052	-0.25694	-0.034054	0
-2.0224	-0.28413	-0.058804	0
-2.0825	-0.31601	-0.093038	0
-1.9247	-0.38389	-0.092222	0
-1.9076	-0.38716	0.0079701	0
-0.96255	-0.49238	0.065142	0
-0.96453	-0.49222	-0.065334	0
-2.0188	-0.28303	-0.038507	0
-2.0483	-0.35127	0.020028	0
-1.9715	-0.37395	-0.09192	0
-2.0517	-0.2945	0.0012238	0
-1.975	-0.37314	-0.058475	0
-0.96648	-0.49204	-0.0067947	0
-1.4903	-0.44323	-0.029277	0
-1.9297	-0.38287	0.023441	0
-1.9528	-0.37814	0.080654	0
-1.2253	-0.46937	-0.0099091	0
-1.9628	-0.26862	0.068787	0
-1.9702	-0.27027	0.011451	0
-1.9128	-0.25836	-0.09164	0
-1.3161	-0.46084	0.079232	0
-2.0328	-0.35708	-0.078297	0
-1.6228	-0.42829	0.062175	0
-0.95927	-0.49264	-0.045995	0
-2.0693	-0.34108	-0.019623	0
-2.0806	-0.31311	0.059462	0
-1.2062	-0.47112	0.053633	0
-1.3594	-0.45664	-0.03628	0
-2.0833	-0.32646	-0.027214	0
-1.8757	-0.39281	-0.067273	0
-2.0608	-0.34581	0.093191	0
-1.143	-0.47682	0.029014	0
-0.97044	-0.49172	0.022469	0
-2.0218	-0.36064	0.082228	0
-2.0096	-0.28028	0.040952	0
-2.0319	-0.28717	-0.031228	0
-1.4997	-0.4422	-0.055197	0
-1.911	-0.25804	0.091956	0
-1.9099	-0.38672	0.055091	0
-1.9849	-0.37071	0.030951	0
-2.0806	-0.31336	-0.057901	0
-1.1225	-0.47866	0.0011184	0
-1.1394	-0.47714	-0.030007	0
-1.8978	-0.38895	0.080113	0
-2.0641	-0.30058	-0.025087	0
-2.0528	-0.29503	-0.048517	0
-1.917	-0.38542	0.037821	0
-2.0294	-0.28635	0.063459	0
-1.6665	-0.42297	-0.0050812	0
-2.0831	-0.31768	-0.078932	0
-1.2003	-0.47165	-0.047396	0
-1.9336	-0.38211	-0.031068	0
-2.0465	-0.2925	0.050542	0
-2.0524	-0.29504	0.043023	0
-2.0731	-0.3383	-0.03567	0
-1.0814	-0.48224	0.017411	0
-2.0651	-0.30114	-0.056322	0
-1.8621	-0.39514	-0.0066127	0
-1.908	-0.25748	0.056943	0
-2.039	-0.35491	0.034178	0
-1.9514	-0.26612	-0.046084	0
-1.5659	-0.43492	0.093281	0
-2.0696	-0.30381	-0.083643	0
-1.9632	-0.26869	-0.078508	0
-1.9683	-0.37469	-0.025247	0
-0.96062	-0.49254	-0.033062	0
-2.049	-0.35098	0.0065463	0
